instance_id,n,budget,density,seed,solver,p,sweeps,num_reads,shots,maxiter,best_bitstring,selected,energy,exact_energy,gap,success_prob,wall_time_sec,transpile_time_sec,qpu_seconds,gamma_beta,note
n4_k2_d0.25_seed3,4,2,0.25,3,SA,,1000.0,200.0,,,0011,2,0.06135413687392344,0.06135413687392344,0.0,0.235,0.012101799999072682,,,,ok
n4_k2_d0.25_seed3,4,2,0.25,3,SA,,5000.0,200.0,,,0011,2,0.06135413687392344,0.06135413687392344,0.0,0.25,0.04856770000333199,,,,ok
n4_k2_d0.25_seed3,4,2,0.25,3,SQA,,100.0,200.0,,,0011,2,0.06135413687392344,0.06135413687392344,0.0,0.23,0.02873399999953108,,,,ok
n4_k2_d0.25_seed3,4,2,0.25,3,SQA,,1000.0,200.0,,,0011,2,0.06135413687392344,0.06135413687392344,0.0,0.2,0.2983232000042335,,,,ok
n4_k2_d0.25_seed3,4,2,0.25,3,SQA,,5000.0,200.0,,,0011,2,0.06135413687392344,0.06135413687392344,0.0,0.19,1.470339999999851,,,,ok
n4_k2_d0.25_seed3,4,2,0.25,3,QAOA_STATEVECTOR,1.0,,,none,60.0,0011,2,0.06135413687392344,0.06135413687392344,0.0,0.14620199891616503,0.19816709999577142,,,"{""gammas"": [1.2892321921570562], ""betas"": [1.0915036612628355]}",optimizer_fun=6.574874
n4_k2_d0.25_seed3,4,2,0.25,3,QAOA_STATEVECTOR,2.0,,,none,60.0,0011,2,0.06135413687392344,0.06135413687392344,0.0,0.059148275635462134,0.2679481000013766,,,"{""gammas"": [0.23337115192267213, 1.28514715204244], ""betas"": [1.7895081382197264, 0.9443327086165446]}",optimizer_fun=5.622038
n4_k2_d0.25_seed3,4,2,0.25,3,QAOA_SHOT_SIM,1.0,,,1024,60.0,0011,2,0.06135413687392344,0.06135413687392344,0.0,0.14453125,0.13550260000192793,,,"{""gammas"": [1.2892321921570562], ""betas"": [1.0915036612628355]}",ok
n4_k2_d0.25_seed3,4,2,0.25,3,QAOA_SHOT_SIM,2.0,,,1024,60.0,0011,2,0.06135413687392344,0.06135413687392344,0.0,0.0595703125,0.1752515999978641,,,"{""gammas"": [0.23337115192267213, 1.28514715204244], ""betas"": [1.7895081382197264, 0.9443327086165446]}",ok
n4_k2_d0.25_seed4,4,2,0.25,4,CPLEX_EXACT,,,,,,1100,2,0.9225539945480108,0.9225539945480108,0.0,1.0,0.2060042999946745,,,,ok
