solver,instance_id,n,p,energy,gap,success_prob,wall_time,qpu_seconds
QAOA_SHOTS,n8_k4_d0.25_seed1,8,3.0,0.4370002204909227,0.0,0.001953125,0.19770750000316184,
QAOA_SHOTS,n8_k4_d0.25_seed2,8,1.0,1.0171073819696659,0.0,0.0107421875,0.1768595000030473,
QAOA_SHOTS,n8_k4_d0.25_seed2,8,2.0,1.0643773793054265,0.04647493290651432,0.001953125,0.19047280000086175,
QAOA_SHOTS,n8_k4_d0.25_seed2,8,3.0,1.0171073819696659,0.0,0.0009765625,0.17554589999781456,
QAOA_SHOTS,n8_k4_d0.25_seed3,8,1.0,1.080469573459279,0.0,0.0078125,0.1676683999976376,
QAOA_SHOTS,n8_k4_d0.25_seed3,8,2.0,1.080469573459279,0.0,0.0009765625,0.14042370000242954,
QAOA_SHOTS,n8_k4_d0.25_seed3,8,3.0,1.080469573459279,0.0,0.0068359375,0.15993450000678422,
QAOA_SHOTS,n10_k5_d0.25_seed1,10,1.0,1.2573621735565865,0.23624936338293578,0.001953125,0.15393049999693176,
QAOA_SHOTS,n10_k5_d0.25_seed1,10,2.0,1.0170781161139502,0.0,0.0029296875,0.15946719999919878,
QAOA_SHOTS,n10_k5_d0.25_seed1,10,3.0,1.0170781161139502,0.0,0.0029296875,0.16418639999756124,
QAOA_SHOTS,n10_k5_d0.25_seed2,10,1.0,1.077053011640757,0.0,0.001953125,0.17963249999593245,
QAOA_SHOTS,n10_k5_d0.25_seed2,10,2.0,1.21297233018295,0.12619556983099345,0.0009765625,0.16573539999808418,
QAOA_SHOTS,n10_k5_d0.25_seed2,10,3.0,1.077053011640757,0.0,0.001953125,0.19881530000566272,
QAOA_SHOTS,n10_k5_d0.25_seed3,10,1.0,1.2902156576516504,0.0,0.0009765625,0.14574989999528043,
QAOA_SHOTS,n10_k5_d0.25_seed3,10,2.0,1.2902156576516504,0.0,0.001953125,0.1605453000011039,
QAOA_SHOTS,n10_k5_d0.25_seed3,10,3.0,1.2902156576516504,0.0,0.0029296875,0.1535375000021304,
QAOA_SHOTS,n12_k6_d0.25_seed1,12,1.0,0.8767349426463724,0.16479947050170432,0.0009765625,0.16170730000158073,
QAOA_SHOTS,n12_k6_d0.25_seed1,12,2.0,0.7526917420976709,0.0,0.0009765625,0.14980530000320869,
QAOA_SHOTS,n12_k6_d0.25_seed1,12,3.0,0.8726717672558131,0.15940127737255466,0.0009765625,0.15684170000167796,
QAOA_SHOTS,n12_k6_d0.25_seed2,12,1.0,1.099693001253545,0.0,0.0009765625,0.1665729000014835,
QAOA_SHOTS,n12_k6_d0.25_seed2,12,2.0,1.2651845144996123,0.15048883011660774,0.001953125,0.1902730999936466,
QAOA_SHOTS,n12_k6_d0.25_seed2,12,3.0,1.2651845144996123,0.15048883011660774,0.0009765625,0.18649290000030305,
QAOA_SHOTS,n12_k6_d0.25_seed3,12,1.0,0.9503185944516979,0.19634556269427472,0.0029296875,0.14809360000072047,
QAOA_SHOTS,n12_k6_d0.25_seed3,12,2.0,0.8181563160587473,0.02996793288245666,0.0009765625,0.17220939999970142,
QAOA_SHOTS,n12_k6_d0.25_seed3,12,3.0,0.8181563160587473,0.02996793288245666,0.0009765625,0.168251600000076,
QAOA_IBM,n8_k4_d0.25_seed1,8,1.0,0.4370002204909227,0.0,0.001953125,8.26569169999857,
QAOA_IBM,n10_k5_d0.25_seed1,10,1.0,1.0170781161139502,0.0,0.0009765625,8.057988300002762,
QAOA_IBM,n12_k6_d0.25_seed1,12,1.0,0.8621255301518467,0.14538991453419645,0.0009765625,8.318482699993183,
